ticker,name,exchange,category name,country,,,
WUG.F,Westag & Getalit AG,FRA,Home Furnishings & Fixtures,France,,,
MWB.F,mwb fairtrade Wertpapierhandelsbank AG,FRA,Investment Brokerage - National,France,,,
IGE.PA,IGE+XAO Group,PAR,Technical & System Software,France,,,
XONA.F,Exxon Mobil Corporation,FRA,Major Integrated Oil & Gas,France,,,
XCA.F,Credit Agricole S.A.,FRA,Money Center Banks,France,,,
XIX.F,Xilinx, Inc.,FRA,Semiconductor - Broad Line,France,,,
RNY.F,Yamana Gold Inc.,FRA,Gold,France,,,
IU2.F,Yara International ASA,FRA,Chemicals - Major Diversified,France,,,
YSN.F,secunet Security Networks Aktiengesellschaft,FRA,Technical & System Software,France,,,
YCP.F,ConocoPhillips,FRA,Independent Oil & Gas,France,,,
YOC.F,YOC AG,FRA,Marketing Services,France,,,
MLZAM.PA,ZCCM Investments Holdings Plc,PAR,Copper,France,,,
